"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129"
"大安區 群英里",6.6904594647773,13.056207273057,4.53107006644756,1.0847863621192,1.65949419642121,4.01937636107054,1.57068298342381,3.20028689792322,5.17314397079201,10.2053297486937,8.37769704190985,2.81915467387579,8.16560676267767,3.16870106385616,1.39440684207795,3.28918833786512,4.53107006644756,8.78401525141789,4.62036978463795,4.34125233128346,1.2524467073143,2.34515018102959,13.2370224953333,8.08849053076113,0.693420897469649,5.07054123786467,5.35434566384758,4.39303548910558,6.69584933156754,3.23582060760022,4.70168680178713,5.36810783318906,6.26957590349642,5.39656338689823,2.05062055203112,4.08792403651365,10.247887925021,0.839468052038355,4.20940792635013,4.65983639812675,7.40018575284543,6.30577453861805,1.97390443753532,2.41281197872914,5.28164701608443,0.717403084651291,3.5221935557873,2.48140050801052,6.61050835499345,4.39312834961303,5.02361170977747,2.34707031700433,3.48670883023996,3.41822002282629,4.59340283410292,4.45261976582834,4.07418019490575,4.82104669052229,6.20354515264884,4.02001637697309,3.39551200933352,5.00839063753727,3.40327081556066,1.965957488441,0.804894829613165,0.962130194544545,1.70484815789339,2.65341687836853,3.30528060745873,4.10600617668733,2.87953074312519,1.60155018097163,2.00481204190248,2.64575973643222,2.55359926405692,2.07156565697879,7.08824708796153,5.47056176532324,4.52699332271346,4.48717674006157,7.20460516151116,7.36075194450882,6.69096350945771,7.70944951059641,7.38967941041429,8.54506197604217,7.56754512575652,8.31314495857946,8.3939469641574,8.09929843048586,10.3957001490262,7.70796734496786,8.53179880217733,13.8778117510813,12.8107064752222,13.0176831154508,13.0724855086497,13.2023120230406,7.68881335001094,3.98993006114231,8.46468769883301,4.60373762083092,4.10695143203242,4.02076130170127,3.59241015360176,1.21556650103099,2.96443923857098,4.9981482599018,3.52162794841151,2.03257063036812,4.00795678404158,3.63091501427512,12.5933776766485,2.18097155829182,4.16487947184544,2.70430313454973,4.14701203066832,2.0854981264512,6.1247766668356,3.53114541348504,10.290383121188,7.77856958523157,6.75752544292037,4.26575997937496,3.91902346101383,8.853051412349,3.70831358118757,1.70503582810162,4.39317351364929
"大安區 虎嘯里",6.79296442811675,13.5546509503119,5.05010687029949,1.48659233768858,2.10996377323233,4.45778236433142,1.29466820673352,3.59173007383043,5.53233348783656,10.6941727083944,8.40767976596054,3.08804523523643,8.67211362029375,2.671097992343,1.157570883048,3.78682544543872,5.05010687029949,9.25316562540493,4.5492541587224,4.87619386716078,1.54014390384985,2.76041324708517,13.7724908136526,8.61060889221541,0.722973010382642,5.38363391042032,5.88938649590294,4.90040760717906,6.60757619460863,3.63912352520808,4.1762007513824,5.58938810457944,6.37900523912362,5.92580430644023,1.94867594620273,4.62317904425565,10.7616115556126,1.3689987684299,4.21028565528428,5.16055048906051,7.9096048962793,6.55072972309887,1.83152004471896,2.81876967772924,5.81692322126247,0.619503641157957,3.02144939379913,2.88308432654497,6.49938186413155,4.82376946956843,5.40848883449079,2.56251652520068,3.95342966717007,3.87543733989339,5.11999454791536,4.98112798131745,4.53524995681442,5.3352519340464,6.73159720761759,4.55072277142598,3.04813176454655,4.47432611190404,2.99882858567706,1.81995729956318,0.376336347336703,1.267506393965,2.23319906969436,3.10266657434328,3.69395361117518,4.34662307350782,3.12013224099108,1.48940487092867,1.79380299166607,2.5359065682127,2.47040143156916,1.75006488813658,7.01631419004987,5.42063898240506,4.4707428849152,4.40178466018025,7.12408354895905,7.12629275923695,6.96934144146029,7.87644412450416,7.44877585979663,8.67892370546288,7.70292388819528,8.28484652237603,8.92654740789106,8.58373391112697,10.9302965087707,8.20850230293769,8.92342048437111,14.4082362293098,13.3238665253648,13.5213772123597,13.5776952743718,13.7065547855735,8.16863921355303,4.45544459263131,8.55760186530271,5.11712762049,4.4114876988326,4.35771418603385,4.09137391710966,1.73731163860753,2.83455975645619,4.85936790231211,3.14436073327389,2.03746999162076,4.52550848047246,4.15160626395731,13.107815121353,2.06436174766813,4.63547796952629,2.70971789115115,4.66223769514564,2.01902739576544,6.65460350887249,4.05785617262007,10.7566311275567,8.25203728531121,6.97623614287394,4.7954884608533,4.44782128069225,9.3407614970322,4.23145725044993,1.62444070571742,4.3396780738104
"大安區 臥龍里",7.08673613348331,13.5460199762324,4.84341518848594,1.5944495675996,2.17389738863105,4.16274594807064,1.65554167868688,3.71265085854669,5.19706433187259,10.7024513858674,8.72755521815684,3.29515553117385,8.64939930180824,2.69187916615487,0.900924200262675,3.54909558949633,4.84341518848594,9.29072246320814,4.89229761177884,4.76051285748687,1.72647836255197,2.85942737977852,13.6373789515276,8.55079225264012,0.362377160016691,5.03574246811351,5.77033921848677,4.87885884275376,6.95540848980622,3.32654190039965,4.26212590797004,5.82761573401022,6.66974237147438,5.84404490487361,2.29156255938436,4.48409775859206,10.7225492815791,1.31311970505079,4.53520334147692,4.92223210632913,7.88125752403756,6.77666985983735,2.18128646348222,2.92632204025467,5.69381764396607,0.270247107770986,3.04712309586146,2.99449591898966,6.8509785780214,4.52278905803943,5.08304250849299,2.20394153517959,3.68182667440067,3.596179176162,5.04947675121787,4.90382418748169,4.58488492380347,5.11812818581901,6.65361658674396,4.37939829160965,2.88385389290812,4.60297514919854,2.88889263169183,1.52188893164762,0.347259273070078,0.943527650644909,2.06863453226909,3.1671290819051,3.81732934250902,4.57273356372208,3.34350266977778,1.83101985724534,2.15217297996872,2.88278588064219,2.8117701079205,2.10884002178612,7.36125387664203,5.75994243128908,4.81050666705641,4.74750629727535,7.47072060369735,7.48726859447254,7.17555822019338,8.1434328964231,7.75876243336547,8.961030713793,7.9838980662989,8.62070395110794,8.82543256058141,8.59948599390412,10.8125759161674,8.19747180857799,9.0454196779269,14.3165100456533,13.2854519790192,13.5028998850069,13.5562219347002,13.6869726023022,8.19143510140128,4.49954927129209,8.85604910417953,4.89902690234535,4.59882076884247,4.01727929093032,3.85406574880036,1.56435883729497,3.18562065694214,5.21402671750957,3.00710895235388,2.35362391520939,4.31721181863908,3.95150094480599,13.0664630679282,2.41071412518122,4.36496688015323,3.02941733944335,4.44886455730627,2.35446243803238,6.56947110408416,3.87400166012574,10.7978329072404,8.28389849650946,7.21693000148855,4.61947200601238,4.2694185828612,9.35118344164777,4.03697938112639,1.96026671158341,4.67865843007264
"大安區 龍淵里",7.29898805012832,13.3414565103846,4.46361196223128,1.62197214905725,2.11839537386067,3.72899640369246,2.04963456459611,3.69454916073796,4.7599500011885,10.519458256084,8.98650980383331,3.39651815230102,8.43570729026165,2.96643300287825,0.933073557992897,3.14940100832607,4.46361196223128,9.14328296202485,5.20986385735493,4.46294775441492,1.8425459264687,2.82774633341074,13.3076799217788,8.29816294736743,0.183231965220572,4.60683040151727,5.46545153696956,4.67972642844201,7.28235544380406,2.88822222798889,4.57877328940576,5.95403310794004,6.87767111498581,5.57590699428884,2.62191443342906,4.16516671157077,10.4882845058241,1.16415660153501,4.81354065390618,4.51879384044685,7.66312409203462,6.8812381323272,2.52892703993775,2.90391201244089,5.38528033338937,0.338447725051998,3.32121690781044,2.97557456497057,7.18953712210584,4.08689842204578,4.64389529528763,1.79996922226685,3.25959899614833,3.16996340572616,4.79644257519712,4.64447462603059,4.46999552847469,4.72962033880458,6.38670820901588,4.0310866766894,2.94766866472463,4.95193104353333,3.02266149685369,1.40175635528491,0.748214474007828,0.50513286739287,1.75081411229596,3.08692845570795,3.80107725514274,4.68815948666208,3.46685104042806,2.16443226655289,2.52720742535195,3.21789332797044,3.13426696944721,2.52116144883327,7.67964884793207,6.06634019927909,5.12025672084889,5.07235155357124,7.79369501777299,7.88081578209026,7.25017552994825,8.30806405451083,7.99950396319139,9.14951656855314,8.17211781024305,8.91483288366282,8.5312167026108,8.42844802912054,10.50045296976,7.99744578898593,9.00137343734894,14.0264026187278,13.0493929124803,13.2877498141462,13.3378261928235,13.4704963617387,8.02932716645976,4.37877086207291,9.07356064352826,4.51024160600035,4.65944947188025,3.58241127672503,3.45370180367713,1.25420161051443,3.53040520456573,5.56516089407305,3.10462270669416,2.63234095375749,3.93763567216143,3.58001936214127,12.8275181856216,2.7479152538653,3.94237124974996,3.30666496057477,4.06485442564431,2.668540509502,6.29556879369149,3.5169095160312,10.6521881168934,8.13198570471348,7.34231529344671,4.26604397330084,3.91528715989816,9.17267581652246,3.6698961463074,2.28030015602579,4.98693560596437
"大安區 龍門里",7.28790573389863,12.7000306182182,3.72609176826727,1.49953055983772,1.79253051046944,3.07255625498707,2.52411183396911,3.3485187522782,4.22246256795014,9.90309236854577,9.05633100229574,3.25553238939519,7.79152184980195,3.6878874515381,1.58205298304923,2.42043775914393,3.72609176826727,8.56930461818643,5.43373156219375,3.75545656705608,1.835177206791,2.4926933143681,12.5764942441651,7.61827305145251,0.913167997768846,4.14108978186831,4.75058493139435,4.06646667545204,7.50850939924521,2.27930133678082,5.31137924309378,5.80161542932597,6.86194466570676,4.88841430362273,2.9338535705106,3.44412653658436,9.82173556923964,0.839296180699382,4.96043921798565,3.79316192124803,7.0162189082304,6.68221568740541,2.88048543437112,2.58000932498088,4.6682307798406,1.07638798732132,4.04116718553911,2.65393744723679,7.44343727895165,3.44290305831531,4.06768317775026,1.56611258944082,2.56307427422318,2.48460712585435,4.12549456961089,3.96833812556986,3.9657260599359,3.99468079053374,5.69821125932091,3.29641309362355,3.52225948047413,5.69010391563728,3.65773358329314,1.8556270310687,1.46780473693526,0.385788186989983,1.05091203252902,2.66479021517745,3.45501854155183,4.53619397340014,3.36087976927862,2.50570184804523,2.93850432543559,3.51848434394842,3.41086993245209,3.027414232412,7.88379899848591,6.25625472232719,5.3282862574256,5.31408465856717,8.00760357352287,8.27651776201891,6.99870843572139,8.20244548543264,8.03843749073117,9.08247708872971,8.11008772683694,9.05870135337787,7.81978841884155,7.82934855377108,9.77763775412213,7.36812992731441,8.56080873657494,13.3150880331048,12.3791749345369,12.6362524233547,12.6832649145838,12.8176251395703,7.44150294764679,3.86778398249793,9.06132220625198,3.77536534148592,4.41652543249241,3.08175572850816,2.72533634410993,0.594251381549314,3.84385587302869,5.86208022502506,3.7076392815389,2.84310352203778,3.1999727726714,2.84157715000677,12.1549547126334,3.06878370873167,3.24557365027509,3.48670063534446,3.32823711523574,2.94579583055154,5.60158777229836,2.78019424391669,10.0770044327998,7.55566837365333,7.1747504730726,3.52975443254836,3.17902657126387,8.56356405787293,2.93159028716923,2.58890052538793,5.19363914582738
"大安區 大學里",8.20936796803567,13.5116365682792,4.16457062910705,2.43574111449554,2.78913991888146,3.0983245495834,3.02834921452181,4.34913267942096,3.9193480680265,10.7557756699583,9.9343460552261,4.21974115063869,8.61130282392837,3.24619357495073,1.14848269055297,2.80320801317571,4.16457062910705,9.47106619438713,6.19490824899125,4.47141838058795,2.72668679571807,3.49248719905152,13.1150138321574,8.37158304015668,1.01349037963369,3.70307829911671,5.42402548673543,4.95133134419409,8.26933028551714,2.20500840160838,4.90368236807251,6.77674955610833,7.78512648274004,5.64396441958759,3.61255812414486,4.11407989085088,10.5950502823564,1.81865528923436,5.78113726502109,4.09878716742057,7.83512515104155,7.67017270197152,3.52072864023657,3.57924851912727,5.33379266133849,1.13946457722634,3.57882928925167,3.65315531497232,8.17947827003274,3.41811475855261,3.85149266497829,0.834709797155776,2.75816619710574,2.6385746779629,4.92593101533497,4.76075592355783,4.93172014857329,4.38222190085974,6.4434593885408,3.87880056740324,2.73352039993286,5.36442918395156,2.96222690152688,1.04152445212474,1.57648033001521,0.684412226475231,1.90617754831768,3.66115880674051,4.45562506579378,5.50864567768422,4.31319727788917,3.15583494237957,3.51507648026581,4.20867414135248,4.12290172813083,3.48415600177501,8.66353075603986,7.04629472081377,6.1025310136931,6.05974926178285,8.77919774125711,8.86165945354259,7.9955852530187,9.16532439194693,8.93397535352613,10.0312875960355,9.05594417723345,9.88645369492793,8.48072401317148,8.70804241539394,10.3789875036684,8.21150181365786,9.54089928946264,13.9585001397033,13.1389503285284,13.4312276749904,13.4727562887122,13.6098885625447,8.33322756925498,4.83116959041929,9.98518984458142,4.16726384919061,5.4098772360958,2.72665524999768,3.08796009067216,1.5511006093296,4.52200533524176,6.55687405445839,2.95463603393582,3.60808039267399,3.65719715297393,3.35147163846318,12.9102018942638,3.73922116320599,3.41296614726946,4.27844537232634,3.75889092309641,3.65604626099978,6.33349710518878,3.35247839401186,10.9744756113775,8.45804083171627,8.15574132332247,4.08525553793457,3.74476239394877,9.42861945238083,3.45636439014882,3.2698752476013,5.96877846876494
"大安區 芳和里",6.91088976375792,13.8734904764362,5.36079490283637,1.78494320451632,2.41810727871478,4.71659733517084,1.25124865537912,3.87024035540494,5.73990295181878,11.0093039475983,8.47929542854499,3.31325917926833,8.99447154645833,2.35877917717528,1.08243888638724,4.08392662073672,5.36079490283637,9.56006370126476,4.57338494905758,5.20463647671486,1.79769536735893,3.05236204771232,14.0999438618497,8.93807117274284,0.885131810205621,5.56361633008529,6.21773914591175,5.22374203212604,6.61137305421861,3.87995598919379,3.84855703168714,5.77701551688935,6.5021128564324,6.25482268050016,1.9938546618972,4.94936028701026,11.0863815312337,1.69818934145732,4.28074360671372,5.45804816603581,8.2330894645833,6.74841522093335,1.8550182471711,3.10671318110406,6.14497498415806,0.736820635888683,2.70660801602734,3.16896745684619,6.48911434121226,5.07691427419956,5.63210224881378,2.70762518920026,4.23084802949144,4.1472762422923,5.44862355628936,5.31006961281146,4.84130735914143,5.64217926960557,7.06043299879623,4.87125265106581,2.83316913692347,4.14535358442848,2.74598158161448,1.76776665310842,0.304329053407874,1.49679677904667,2.55309749205172,3.40659557271219,3.97088000137584,4.54942993072653,3.33131602436195,1.5491950075862,1.77178606529356,2.55985547358926,2.5126205730297,1.64542437589915,7.02908538806139,5.45294109075296,4.50462587643469,4.41802415862638,7.13119224185607,7.03371795646245,7.18392163344744,8.02858993563405,7.53973364995538,8.81085129595868,7.83750876153963,8.32147134625391,9.25571884459798,8.89737889948678,11.2589864998136,8.52868311748894,9.19380846394418,14.7373465682126,13.6483400738278,13.8423122293587,13.899216360901,14.0276946878618,8.48044764216853,4.76339500809916,8.66607456479064,5.42358615400367,4.6462503000241,4.5560825856764,4.38887343175595,2.05397173710373,2.83989070735326,4.83862221186276,2.90864035807637,2.14381589659984,4.8353909059855,4.46406758617076,13.4327400190995,2.09629654990924,4.91389425571042,2.80051786886638,4.97032750107818,2.0838463949169,6.98368054968569,4.37505848245334,11.0618840149077,8.56110377169383,7.15882407383985,5.11503703038612,4.76663562974946,9.65562340656902,4.54573328090393,1.69657206757178,4.37620211061861
"大安區 黎元里",7.21479442760399,14.4202998747297,5.85001490658248,2.32249682611376,2.96034152438096,5.11034968614561,1.44550402030158,4.38560723623827,6.0398816287095,11.5539544228821,8.70957328856493,3.77470755676277,9.54277779841602,1.82132668758608,1.08579078451698,4.54915458233849,5.85001490658248,10.0985216387753,4.75179538796123,5.74004852252,2.30457586548353,3.58163644850088,14.6297883625926,9.48559635444946,1.25189507314363,5.81743155101331,6.75245606214008,5.77228568790031,6.74296694496778,4.24808958064748,3.30127333542868,6.18088060997668,6.8149712798798,6.79891728196959,2.25820620343382,5.47638382082645,11.6349946310944,2.24135384857323,4.53180316601924,5.92036800739404,8.78163201442621,7.16265656568015,2.09618924642679,3.63246308572691,6.67832203405375,1.08273499873826,2.16549372889179,3.69276713435985,6.59870410046096,5.45906888667377,5.96027516083311,2.93941144538113,4.65970306724352,4.56669206645909,5.99428484825124,5.85462724867787,5.38021835779931,6.12311167543546,7.60537583666885,5.38313204306225,2.45467356024832,3.60978884363348,2.30208053644611,1.72543599833755,0.662234848004797,1.89291807699995,3.06793411171854,3.94485489962337,4.48448744025684,4.9775156946843,3.776705568875,1.8564867599989,1.95188411240633,2.77335571229499,2.75397753990107,1.70072226871142,7.17298183024275,5.6364685015179,4.69872007195656,4.58585424709706,7.26559742159147,7.00192183658117,7.61911062703341,8.37800887387188,7.80197562620782,9.12976813510494,8.16251177768853,8.49816500258359,9.79624649239349,9.4411390291745,11.7949684321925,9.07623509688028,9.69496234795126,15.2805232164037,14.1969565846475,14.3900994614891,14.4472243156669,14.5755608007973,9.02292865456715,5.3037832190572,8.95110033609681,5.9038936842287,5.11235758159051,4.84769807576023,4.85385843910381,2.56473603569475,3.01767522040237,4.94327813134473,2.49243307354417,2.48252432036274,5.32376929962198,4.95850879051575,13.9813463229763,2.33784505898111,5.34180094979282,3.10207011926721,5.45476406248574,2.37096888948213,7.52733441681423,4.87987573177825,11.5987476362012,9.10146966059156,7.5520969307432,5.62430864217909,5.27457184827329,10.2001612323437,5.0438811232105,2.0107192753139,4.57567404740689
"大安區 黎孝里",6.96372161280659,14.3826016438295,5.97026619812778,2.27213545985837,2.9172035378174,5.30224718729198,1.1901180136546,4.28235159518683,6.2761322310954,11.5058154519042,8.43569306921808,3.61749355740621,9.52062703655454,1.92749152783441,1.37278747278822,4.69172700076487,5.97026619812778,10.0303433918939,4.47003480447528,5.79285481851305,2.20506201125664,3.50424119602802,14.6921793873513,9.49154081676446,1.44261222225478,6.06956656474349,6.80623251533127,5.75829509182367,6.45197307524237,4.45277322961033,3.30935378051423,5.97668797002044,6.56757120080066,6.82517516429232,2.01049638345937,5.54642512077217,11.622913332088,2.28052336287303,4.26790383325147,6.06570773705292,8.7648728846798,6.96312758669523,1.84273883191773,3.54851905266558,6.73519666176459,1.27846585007886,2.25596437900166,3.60525401931222,6.30518000590461,5.65761602570952,6.18507857123432,3.19363695628479,4.82964018310417,4.74275095762886,6.01421536740684,5.87975968532054,5.31837225710122,6.2517018893784,7.62747847697497,5.47668374645148,2.70251221827107,3.56920269741565,2.5157627797167,2.02186817160288,0.829280686343457,2.076500137392,3.15893074926665,3.88532543669674,4.37842599227147,4.79103230554239,3.60699338259218,1.63191757888688,1.68254095917761,2.50559232116322,2.49426082601016,1.40953638436143,6.88345863235882,5.35463710140674,4.42024127846108,4.30233386110349,6.97474288726501,6.70396550165016,7.43255930188406,8.14376378170369,7.5370782383396,8.88263103246079,7.91839828749914,8.2132694984971,9.8335327256875,9.39035717024936,11.8441698248788,9.04606005884947,9.56482003031506,15.3076892265178,14.1825224474084,14.3600439995365,14.4194567139866,14.5462446926711,8.96768570770296,5.24627158622,8.69234233073395,6.03308107715989,4.95393335807036,5.08600193497672,4.99672140925975,2.66156455486598,2.74003491161736,4.65011769584936,2.72149990070209,2.26184425010222,5.44491555914802,5.07326451062447,13.9693315308101,2.08168562202435,5.51276462017618,2.86051748790488,5.57989813484335,2.13018275281204,7.55487090550757,4.982684653131,11.5256644735028,9.03934595176876,7.3400253466159,5.72125702556904,5.37335563518277,10.152150414215,5.1545054202806,1.78602109791395,4.29857248991813
"大安區 黎和里",7.13409426188737,15.0078186440838,6.68079752705807,2.91703285538205,3.56140150942426,5.9801364200165,1.51159657260925,4.84290639647545,6.89775284039394,12.1208909024189,8.48441122359912,4.09196725000657,10.165483564385,1.53904891467254,1.88698336069862,5.39741883382893,6.68079752705807,10.6218758108703,4.49711845530243,6.49271939822937,2.79810865927453,4.10628814976021,15.3933434690295,10.161007094688,2.11907374434279,6.6592394305202,7.50584919417269,6.41598600686518,6.37949862881619,5.1184024154145,2.69242924092706,6.31520616111565,6.7558046083234,7.51078795990921,2.28754517377348,6.25232578729179,12.2757510447148,2.98135047580955,4.40478728366397,6.77088684107399,9.41560700601826,7.30875542024723,2.10767725193817,4.14196413793071,7.43609228113748,1.95065198651481,1.81032600560113,4.19354866880276,6.20416119532042,6.32942396001569,6.82520049067599,3.78430179164055,5.52326934762779,5.43254734819886,6.69679454121873,6.56570331687817,5.92841425552861,6.96111409206526,8.30980466752848,6.1871361668913,2.67627682670234,2.89675019440772,2.37555129457199,2.44898236144877,1.5157919744072,2.75939408966918,3.86969605917715,4.50529676489504,4.9340405234595,5.18633746646857,4.05565360119422,2.01112678658302,1.88652227428021,2.66788045149421,2.69668841411813,1.48594391522162,6.82329687213821,5.37064220027809,4.47096119612943,4.31868015900846,6.90053141492224,6.4122165118193,7.81037965475171,8.37431364792287,7.63967984341171,9.0605733159966,8.11250418451089,8.18725687507615,10.5237287621249,10.0044917941348,12.5399736240002,9.68337052081038,10.059087185318,15.9901700552862,14.8319097579616,14.9936207659529,15.0554220827675,15.1805205117696,9.57704725109988,5.86167865107391,8.81995845157341,6.74235616932312,5.41153132557571,5.70486195166776,5.70242218552057,3.37271555667511,2.83532892058761,4.56913400882551,2.6235226243859,2.61704675241035,6.15528942168021,5.7841700578396,14.6210831805229,2.32018808705047,6.20597709065551,3.12471985473652,6.28976841430896,2.4263376717958,8.2406463959747,5.69380613404566,12.1088661623859,9.64008256258771,7.6475138282933,6.43199507755475,6.08426380321551,10.7686603355364,5.86561591038013,2.15426206820035,4.3601714747418
