NAME,TYPE,LON 經度,LAT 緯度,,
三軍總醫院 ,指定社區採檢院所/社區篩檢站,121.5902395,25.0716466,,
"三總北投(有快篩,PCR採檢送三總代傳) ",指定社區採檢院所/社區篩檢站,121.5075771,25.1395917,,
大同區聯合醫院中興院區-快篩站 ,指定社區採檢院所/社區篩檢站,121.5093209,25.0509696,,
中山醫院(僅做快篩) ,指定社區採檢院所/社區篩檢站,121.5477182,25.0365493,,
"中心綜合醫院(有快篩,PCR採檢送臺大）",指定社區採檢院所/社區篩檢站,121.545217,25.0419142,,
中正區聯合醫院和平院區-快篩站,指定社區採檢院所/社區篩檢站,121.506986,25.03562226,,
北醫,指定社區採檢院所/社區篩檢站,121.5612182,25.0267207,,
台北長庚,指定社區採檢院所/社區篩檢站,121.5496556,25.0555992,,
"西園醫院(有快篩,PCR檢體送臺大代傳)",指定社區採檢院所/社區篩檢站,121.494405,25.027743,,
振興醫院,指定社區採檢院所/社區篩檢站,121.5207195,25.1162277,,
"康寧醫院(有快篩,PCR檢體送臺大代傳)",指定社區採檢院所/社區篩檢站,121.6089476,25.0758907,,
"博仁醫院(5/24啟動快篩,PCR採檢送臺大)",指定社區採檢院所/社區篩檢站,121.5576835,25.0499097,,
新光醫院,指定社區採檢院所/社區篩檢站,121.5187294,25.0964568,,
萬芳醫院,指定社區採檢院所/社區篩檢站,121.5559535,24.999913,,
臺大癌醫(僅作快篩) ,指定社區採檢院所/社區篩檢站,121.5422212,25.0147443,,
"臺大醫院(有快篩,PCR)",指定社區採檢院所/社區篩檢站,121.5167976,25.0407391,,
臺北市立聯合醫院-中興院區,指定社區採檢院所/社區篩檢站,121.5093209,25.0509696,,
臺北市立聯合醫院-陽明院區,指定社區採檢院所/社區篩檢站,121.5315656,25.105194,,
臺北市立聯合醫院-忠孝院區,指定社區採檢院所/社區篩檢站,121.5860755,25.0465327,,
臺北馬偕醫院,指定社區採檢院所/社區篩檢站,121.5202312,25.0585536,,
臺北國泰醫院,指定社區採檢院所/社區篩檢站,121.5515558,25.0368857,,
"臺安醫院(有快篩,PCR採檢送臺大代傳）",指定社區採檢院所/社區篩檢站,121.547339,25.0480541,,
